Age_Group,Gender,Account Type,Balance_Bucket,Transaction_Size,Transaction Type,Loan_Size,Loan Type,Loan Status,Rate_Category,Card Type,CC_Utilization_Category,Feedback Type,Resolution Status
Established,Female,Savings,Below-Minimum,Large,Transfer,Small,Personal,Closed,High,AMEX,Low,Complaint,Pending
Pre-Retirement,Other,Current,Comfortable,Very Large,Withdrawal,Very Large,Personal,Rejected,High,AMEX,High,Suggestion,Resolved
Established,Female,Current,Comfortable,Everyday,Deposit,Large,Personal,Approved,Low,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Other,Savings,Comfortable,Very Large,Deposit,Very Large,Personal,Rejected,High,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Female,Savings,Comfortable,Large,Transfer,Large,Personal,Rejected,High,MasterCard,Low,Praise,Pending
Young Adult,Other,Current,Mass-Market,Large,Transfer,Large,Mortgage,Closed,Moderate,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Transfer,Large,Mortgage,Rejected,Low,AMEX,Moderate,Praise,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Closed,High,MasterCard,Moderate,Suggestion,Pending
Early Career,Other,Savings,Comfortable,Very Large,Transfer,Medium,Personal,Approved,Low,Visa,Moderate,Complaint,Resolved
Senior,Male,Current,Below-Minimum,Large,Transfer,Large,Mortgage,Approved,Moderate,MasterCard,Moderate,Suggestion,Resolved
Established,Female,Current,Comfortable,Very Large,Deposit,Large,Auto,Rejected,High,Visa,Low,Praise,Pending
Senior,Female,Current,Comfortable,Very Large,Deposit,Large,Auto,Rejected,Moderate,Visa,Moderate,Suggestion,Resolved
Established,Male,Savings,Comfortable,Everyday,Transfer,Large,Mortgage,Approved,High,MasterCard,Low,Praise,Resolved
Established,Female,Current,Mass-Market,Very Large,Deposit,Medium,Auto,Approved,Low,AMEX,Moderate,Praise,Pending
Young Adult,Other,Savings,Comfortable,Large,Deposit,Small,Auto,Approved,Moderate,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Male,Savings,Comfortable,Very Large,Transfer,Very Large,Mortgage,Closed,High,MasterCard,Moderate,Praise,Resolved
Established,Female,Current,Comfortable,Very Large,Transfer,Very Large,Personal,Closed,High,Visa,High,Praise,Pending
Senior,Other,Current,Mass-Market,Large,Transfer,Large,Mortgage,Rejected,Moderate,AMEX,Low,Praise,Pending
Established,Other,Current,Mass-Market,Very Large,Transfer,Very Large,Auto,Rejected,Low,AMEX,Low,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Everyday,Transfer,Large,Mortgage,Rejected,Low,MasterCard,High,Suggestion,Pending
Young Adult,Male,Savings,Below-Minimum,Large,Deposit,Very Large,Mortgage,Rejected,High,MasterCard,Moderate,Complaint,Resolved
Early Career,Male,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Approved,Low,AMEX,Low,Suggestion,Pending
Early Career,Other,Savings,Mass-Market,Very Large,Deposit,Medium,Auto,Rejected,Moderate,AMEX,Over-Limit,Suggestion,Resolved
Young Adult,Female,Current,Comfortable,Everyday,Transfer,Very Large,Mortgage,Rejected,Low,MasterCard,Low,Suggestion,Resolved
Pre-Retirement,Other,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Rejected,High,AMEX,Over-Limit,Praise,Resolved
Early Career,Other,Current,Mass-Market,Very Large,Withdrawal,Large,Auto,Approved,Low,Visa,Low,Complaint,Resolved
Established,Male,Savings,Below-Minimum,Very Large,Withdrawal,Very Large,Personal,Rejected,Moderate,AMEX,Low,Suggestion,Pending
Early Career,Female,Current,Comfortable,Large,Deposit,Small,Mortgage,Rejected,High,Visa,Moderate,Complaint,Resolved
Early Career,Other,Current,Mass-Market,Very Large,Transfer,Very Large,Auto,Approved,High,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Male,Current,Mass-Market,Large,Deposit,Large,Personal,Closed,Low,Visa,Low,Praise,Resolved
Early Career,Male,Current,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Rejected,Moderate,AMEX,Moderate,Suggestion,Pending
Established,Female,Savings,Comfortable,Large,Deposit,Very Large,Mortgage,Rejected,Moderate,Visa,Moderate,Complaint,Pending
Pre-Retirement,Female,Savings,Below-Minimum,Very Large,Transfer,Medium,Auto,Closed,Moderate,AMEX,Low,Suggestion,Pending
Established,Male,Savings,Mass-Market,Very Large,Deposit,Medium,Personal,Closed,High,Visa,Moderate,Suggestion,Resolved
Pre-Retirement,Female,Savings,Comfortable,Very Large,Withdrawal,Large,Auto,Rejected,Low,AMEX,Over-Limit,Suggestion,Pending
Established,Female,Savings,Comfortable,Large,Withdrawal,Very Large,Mortgage,Rejected,Low,MasterCard,Moderate,Praise,Pending
Early Career,Other,Savings,Below-Minimum,Very Large,Deposit,Medium,Mortgage,Closed,Low,MasterCard,Moderate,Complaint,Pending
Early Career,Female,Savings,Comfortable,Very Large,Transfer,Large,Personal,Rejected,Low,AMEX,Over-Limit,Suggestion,Pending
Established,Male,Current,Below-Minimum,Large,Transfer,Very Large,Personal,Rejected,Low,Visa,Over-Limit,Complaint,Pending
Young Adult,Female,Current,Comfortable,Very Large,Transfer,Very Large,Mortgage,Closed,High,MasterCard,Moderate,Complaint,Resolved
Established,Other,Savings,Comfortable,Large,Deposit,Large,Mortgage,Approved,Low,Visa,Moderate,Praise,Resolved
Early Career,Female,Current,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Closed,Low,AMEX,Low,Praise,Resolved
Young Adult,Other,Savings,Comfortable,Very Large,Deposit,Large,Mortgage,Closed,Moderate,Visa,Moderate,Praise,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Very Large,Personal,Approved,High,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Female,Current,Comfortable,Everyday,Deposit,Large,Personal,Rejected,High,AMEX,Moderate,Praise,Resolved
Established,Male,Current,Mass-Market,Large,Withdrawal,Very Large,Personal,Rejected,High,AMEX,Low,Suggestion,Resolved
Young Adult,Male,Current,Comfortable,Very Large,Transfer,Large,Auto,Rejected,Low,Visa,Low,Complaint,Resolved
Early Career,Female,Current,Below-Minimum,Large,Deposit,Medium,Mortgage,Approved,Low,AMEX,High,Suggestion,Resolved
Established,Female,Savings,Comfortable,Very Large,Transfer,Medium,Mortgage,Closed,Moderate,Visa,Low,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Deposit,Large,Personal,Approved,Low,Visa,Low,Suggestion,Pending
Early Career,Other,Savings,Comfortable,Large,Transfer,Medium,Mortgage,Approved,High,Visa,Low,Complaint,Resolved
Young Adult,Male,Savings,Mass-Market,Large,Withdrawal,Large,Personal,Closed,High,Visa,Moderate,Praise,Resolved
Early Career,Female,Current,Below-Minimum,Large,Withdrawal,Very Large,Mortgage,Closed,Low,MasterCard,Moderate,Suggestion,Pending
Early Career,Female,Current,Comfortable,Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,MasterCard,High,Suggestion,Resolved
Early Career,Other,Current,Below-Minimum,Everyday,Withdrawal,Large,Mortgage,Approved,High,Visa,Moderate,Praise,Resolved
Young Adult,Female,Savings,Mass-Market,Very Large,Deposit,Medium,Auto,Closed,High,Visa,Moderate,Suggestion,Pending
Early Career,Female,Savings,Comfortable,Very Large,Withdrawal,Very Large,Personal,Rejected,High,MasterCard,Moderate,Suggestion,Pending
Young Adult,Female,Current,Below-Minimum,Very Large,Transfer,Large,Mortgage,Closed,High,MasterCard,Moderate,Complaint,Resolved
Young Adult,Other,Current,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Approved,Moderate,MasterCard,Low,Complaint,Resolved
Senior,Other,Savings,Comfortable,Everyday,Deposit,Very Large,Personal,Closed,High,MasterCard,Over-Limit,Praise,Pending
Young Adult,Other,Current,Below-Minimum,Large,Deposit,Very Large,Auto,Rejected,High,Visa,Over-Limit,Praise,Resolved
Established,Female,Current,Mass-Market,Very Large,Withdrawal,Medium,Personal,Approved,Moderate,AMEX,Over-Limit,Suggestion,Resolved
Pre-Retirement,Other,Current,Comfortable,Large,Deposit,Medium,Mortgage,Closed,Low,MasterCard,Low,Complaint,Pending
Senior,Male,Current,Comfortable,Very Large,Withdrawal,Very Large,Personal,Closed,High,Visa,Low,Complaint,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Deposit,Small,Auto,Closed,High,AMEX,Moderate,Complaint,Pending
Senior,Other,Current,Comfortable,Very Large,Withdrawal,Very Large,Auto,Rejected,Moderate,MasterCard,Over-Limit,Complaint,Resolved
Pre-Retirement,Other,Current,Below-Minimum,Very Large,Transfer,Large,Mortgage,Closed,Moderate,MasterCard,Moderate,Suggestion,Pending
Senior,Female,Savings,Below-Minimum,Large,Withdrawal,Very Large,Mortgage,Closed,Low,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Transfer,Large,Personal,Approved,High,Visa,Low,Praise,Resolved
Young Adult,Other,Current,Comfortable,Large,Transfer,Large,Personal,Rejected,Low,Visa,Over-Limit,Suggestion,Pending
Established,Male,Savings,Comfortable,Large,Deposit,Very Large,Personal,Closed,Moderate,AMEX,Low,Complaint,Pending
Established,Male,Savings,Comfortable,Large,Transfer,Very Large,Personal,Approved,Moderate,AMEX,Over-Limit,Praise,Pending
Established,Male,Current,Comfortable,Very Large,Withdrawal,Large,Auto,Rejected,High,Visa,Low,Complaint,Pending
Established,Male,Savings,Comfortable,Large,Deposit,Large,Auto,Approved,Moderate,Visa,Low,Suggestion,Pending
Early Career,Other,Current,Comfortable,Everyday,Deposit,Medium,Personal,Rejected,Low,MasterCard,Low,Complaint,Resolved
Young Adult,Male,Savings,Comfortable,Large,Withdrawal,Very Large,Personal,Approved,High,MasterCard,Low,Suggestion,Resolved
Established,Female,Savings,Mass-Market,Very Large,Deposit,Large,Personal,Approved,Low,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Female,Savings,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Closed,Low,MasterCard,Over-Limit,Suggestion,Resolved
Senior,Other,Current,Comfortable,Large,Transfer,Very Large,Auto,Approved,Low,MasterCard,Over-Limit,Suggestion,Resolved
Young Adult,Female,Savings,Comfortable,Very Large,Deposit,Large,Personal,Rejected,Moderate,MasterCard,Low,Suggestion,Resolved
Senior,Male,Current,Comfortable,Very Large,Transfer,Medium,Personal,Rejected,Moderate,MasterCard,Moderate,Praise,Resolved
Young Adult,Male,Current,Comfortable,Large,Deposit,Very Large,Auto,Rejected,High,MasterCard,Low,Suggestion,Resolved
Senior,Female,Savings,Comfortable,Large,Withdrawal,Medium,Auto,Closed,Low,MasterCard,Over-Limit,Complaint,Pending
Young Adult,Other,Savings,Comfortable,Large,Withdrawal,Medium,Mortgage,Closed,High,MasterCard,High,Suggestion,Resolved
Senior,Male,Current,Comfortable,Large,Withdrawal,Small,Mortgage,Rejected,Low,MasterCard,Moderate,Praise,Resolved
Senior,Male,Current,Mass-Market,Very Large,Withdrawal,Small,Mortgage,Approved,Moderate,Visa,Over-Limit,Complaint,Pending
Early Career,Female,Current,Comfortable,Large,Deposit,Very Large,Mortgage,Rejected,High,MasterCard,Moderate,Praise,Resolved
Pre-Retirement,Other,Savings,Mass-Market,Large,Transfer,Medium,Personal,Approved,Moderate,AMEX,Moderate,Complaint,Resolved
Early Career,Other,Current,Comfortable,Everyday,Transfer,Medium,Personal,Approved,High,AMEX,Moderate,Praise,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Deposit,Medium,Mortgage,Approved,Moderate,Visa,Over-Limit,Praise,Pending
Early Career,Male,Current,Comfortable,Large,Deposit,Very Large,Auto,Approved,High,Visa,Low,Praise,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Transfer,Medium,Mortgage,Approved,Moderate,Visa,Moderate,Suggestion,Resolved
Senior,Female,Current,Comfortable,Very Large,Transfer,Medium,Auto,Rejected,Moderate,AMEX,High,Praise,Resolved
Established,Female,Current,Mass-Market,Everyday,Deposit,Large,Mortgage,Rejected,Low,Visa,Moderate,Complaint,Pending
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Small,Mortgage,Closed,Low,Visa,Low,Complaint,Resolved
Young Adult,Male,Savings,Comfortable,Large,Deposit,Large,Personal,Rejected,Moderate,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Large,Deposit,Very Large,Mortgage,Approved,Moderate,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Other,Savings,Mass-Market,Large,Deposit,Very Large,Personal,Rejected,High,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Very Large,Transfer,Small,Mortgage,Approved,High,Visa,Low,Suggestion,Pending
Established,Male,Current,Below-Minimum,Very Large,Transfer,Large,Mortgage,Closed,High,Visa,Low,Complaint,Resolved
Pre-Retirement,Other,Savings,Comfortable,Everyday,Withdrawal,Large,Auto,Rejected,Low,AMEX,Low,Complaint,Pending
Established,Other,Savings,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Rejected,Moderate,MasterCard,Moderate,Suggestion,Resolved
Established,Male,Savings,Comfortable,Large,Transfer,Medium,Auto,Rejected,Low,MasterCard,Low,Complaint,Resolved
Early Career,Male,Savings,Comfortable,Everyday,Transfer,Medium,Auto,Approved,Moderate,AMEX,Low,Complaint,Pending
Early Career,Female,Savings,Below-Minimum,Very Large,Withdrawal,Very Large,Mortgage,Closed,Low,Visa,Moderate,Complaint,Resolved
Early Career,Male,Current,Comfortable,Large,Withdrawal,Very Large,Mortgage,Approved,Moderate,Visa,Over-Limit,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Large,Withdrawal,Large,Personal,Rejected,Moderate,AMEX,Low,Praise,Resolved
Established,Female,Current,Mass-Market,Very Large,Deposit,Small,Mortgage,Closed,Low,AMEX,Over-Limit,Praise,Resolved
Early Career,Female,Savings,Comfortable,Large,Withdrawal,Very Large,Mortgage,Approved,High,Visa,Over-Limit,Praise,Resolved
Established,Other,Savings,Comfortable,Very Large,Deposit,Medium,Mortgage,Closed,High,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Deposit,Small,Auto,Approved,Low,AMEX,Low,Praise,Pending
Established,Female,Savings,Comfortable,Large,Withdrawal,Very Large,Personal,Closed,High,AMEX,Moderate,Complaint,Resolved
Senior,Other,Savings,Below-Minimum,Very Large,Transfer,Large,Auto,Approved,Moderate,AMEX,Low,Praise,Resolved
Established,Other,Current,Comfortable,Large,Withdrawal,Medium,Mortgage,Closed,Low,Visa,Low,Suggestion,Resolved
Established,Other,Current,Comfortable,Very Large,Withdrawal,Very Large,Personal,Rejected,Moderate,Visa,High,Complaint,Pending
Pre-Retirement,Male,Savings,Comfortable,Very Large,Withdrawal,Large,Mortgage,Rejected,High,Visa,Moderate,Praise,Pending
Established,Male,Current,Mass-Market,Very Large,Withdrawal,Large,Mortgage,Rejected,High,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Very Large,Auto,Approved,Low,Visa,Moderate,Complaint,Pending
Established,Male,Savings,Comfortable,Very Large,Deposit,Large,Auto,Closed,High,AMEX,Moderate,Praise,Resolved
Early Career,Other,Savings,Below-Minimum,Large,Withdrawal,Medium,Auto,Rejected,Moderate,MasterCard,Low,Suggestion,Resolved
Established,Female,Current,Below-Minimum,Very Large,Transfer,Very Large,Auto,Approved,Low,MasterCard,Low,Suggestion,Pending
Early Career,Other,Current,Mass-Market,Very Large,Transfer,Medium,Auto,Approved,High,MasterCard,Low,Suggestion,Resolved
Pre-Retirement,Female,Savings,Comfortable,Everyday,Deposit,Very Large,Mortgage,Approved,Moderate,AMEX,Over-Limit,Complaint,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Deposit,Small,Mortgage,Closed,Moderate,AMEX,High,Complaint,Resolved
Pre-Retirement,Female,Current,Comfortable,Very Large,Withdrawal,Large,Personal,Closed,Moderate,MasterCard,High,Suggestion,Pending
Pre-Retirement,Male,Savings,Mass-Market,Everyday,Withdrawal,Very Large,Mortgage,Closed,Moderate,MasterCard,High,Suggestion,Pending
Senior,Other,Current,Below-Minimum,Everyday,Deposit,Very Large,Auto,Closed,High,MasterCard,Over-Limit,Complaint,Pending
Established,Female,Current,Comfortable,Large,Transfer,Very Large,Personal,Closed,Moderate,MasterCard,Over-Limit,Suggestion,Pending
Early Career,Other,Current,Mass-Market,Very Large,Withdrawal,Medium,Auto,Approved,Low,AMEX,Low,Complaint,Pending
Established,Male,Current,Comfortable,Large,Transfer,Medium,Auto,Approved,High,Visa,Low,Suggestion,Pending
Established,Female,Current,Mass-Market,Large,Deposit,Medium,Auto,Approved,Low,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Transfer,Medium,Mortgage,Rejected,High,MasterCard,Over-Limit,Complaint,Resolved
Young Adult,Male,Current,Mass-Market,Everyday,Transfer,Large,Mortgage,Closed,Moderate,MasterCard,Moderate,Suggestion,Resolved
Established,Other,Current,Comfortable,Very Large,Transfer,Very Large,Mortgage,Approved,Low,MasterCard,Low,Complaint,Resolved
Young Adult,Female,Current,Below-Minimum,Very Large,Withdrawal,Large,Mortgage,Closed,Moderate,AMEX,Moderate,Suggestion,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Deposit,Large,Auto,Rejected,Moderate,Visa,Low,Complaint,Pending
Pre-Retirement,Other,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Rejected,Low,MasterCard,Low,Praise,Resolved
Established,Female,Current,Comfortable,Large,Transfer,Large,Mortgage,Approved,Low,Visa,Moderate,Praise,Pending
Established,Female,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Rejected,High,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Male,Savings,Below-Minimum,Everyday,Withdrawal,Very Large,Auto,Closed,Moderate,Visa,Moderate,Complaint,Resolved
Early Career,Male,Savings,Comfortable,Everyday,Withdrawal,Very Large,Auto,Closed,Low,Visa,High,Suggestion,Pending
Senior,Male,Savings,Comfortable,Very Large,Deposit,Very Large,Personal,Approved,Moderate,Visa,High,Suggestion,Resolved
Established,Male,Current,Mass-Market,Everyday,Deposit,Very Large,Auto,Rejected,Low,AMEX,Moderate,Complaint,Resolved
Young Adult,Female,Current,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Approved,Low,MasterCard,High,Suggestion,Resolved
Young Adult,Male,Savings,Below-Minimum,Very Large,Withdrawal,Very Large,Auto,Approved,Low,Visa,Moderate,Suggestion,Resolved
Early Career,Male,Savings,Comfortable,Everyday,Transfer,Small,Mortgage,Closed,High,MasterCard,Low,Praise,Pending
Young Adult,Male,Current,Comfortable,Everyday,Withdrawal,Large,Auto,Approved,Low,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Transfer,Large,Mortgage,Closed,Moderate,AMEX,Low,Complaint,Resolved
Young Adult,Other,Savings,Mass-Market,Very Large,Deposit,Large,Personal,Approved,Low,AMEX,Moderate,Praise,Pending
Senior,Other,Savings,Comfortable,Very Large,Transfer,Large,Auto,Closed,Moderate,AMEX,Low,Suggestion,Pending
Pre-Retirement,Female,Current,Comfortable,Large,Deposit,Very Large,Auto,Closed,Moderate,Visa,Moderate,Praise,Pending
Early Career,Other,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Approved,Moderate,AMEX,Moderate,Complaint,Resolved
Early Career,Female,Savings,Mass-Market,Everyday,Withdrawal,Very Large,Mortgage,Approved,Moderate,Visa,Over-Limit,Complaint,Pending
Established,Male,Savings,Mass-Market,Very Large,Withdrawal,Large,Personal,Approved,Moderate,MasterCard,Moderate,Complaint,Pending
Early Career,Other,Current,Below-Minimum,Very Large,Transfer,Very Large,Mortgage,Rejected,High,MasterCard,Moderate,Complaint,Pending
Established,Female,Current,Mass-Market,Large,Transfer,Very Large,Personal,Approved,Low,AMEX,Over-Limit,Praise,Resolved
Early Career,Female,Savings,Mass-Market,Very Large,Transfer,Medium,Auto,Closed,Moderate,MasterCard,Moderate,Praise,Pending
Senior,Male,Savings,Comfortable,Large,Deposit,Small,Mortgage,Closed,High,Visa,Over-Limit,Complaint,Pending
Pre-Retirement,Female,Savings,Below-Minimum,Very Large,Withdrawal,Small,Mortgage,Closed,Low,Visa,Low,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Everyday,Withdrawal,Large,Auto,Approved,High,AMEX,Low,Complaint,Pending
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Large,Personal,Rejected,High,AMEX,High,Complaint,Resolved
Established,Female,Current,Comfortable,Very Large,Deposit,Very Large,Personal,Rejected,Moderate,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,AMEX,Low,Complaint,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Large,Withdrawal,Medium,Auto,Rejected,Low,AMEX,Low,Praise,Pending
Senior,Other,Current,Mass-Market,Large,Deposit,Very Large,Mortgage,Rejected,Low,MasterCard,Moderate,Suggestion,Pending
Senior,Other,Current,Mass-Market,Large,Deposit,Medium,Personal,Approved,Moderate,AMEX,Over-Limit,Complaint,Resolved
Established,Male,Savings,Comfortable,Large,Withdrawal,Very Large,Personal,Closed,Low,MasterCard,Moderate,Praise,Resolved
Pre-Retirement,Female,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Closed,Low,AMEX,Low,Suggestion,Resolved
Senior,Male,Current,Comfortable,Very Large,Deposit,Very Large,Auto,Rejected,High,MasterCard,Moderate,Suggestion,Pending
Young Adult,Male,Savings,Below-Minimum,Large,Withdrawal,Medium,Auto,Closed,Low,AMEX,High,Complaint,Resolved
Established,Other,Savings,Comfortable,Very Large,Deposit,Medium,Auto,Approved,High,MasterCard,Over-Limit,Suggestion,Resolved
Young Adult,Male,Current,Comfortable,Large,Withdrawal,Very Large,Auto,Rejected,Moderate,AMEX,Low,Complaint,Pending
Established,Female,Savings,Mass-Market,Large,Transfer,Medium,Mortgage,Rejected,Moderate,AMEX,Low,Suggestion,Pending
Pre-Retirement,Other,Savings,Mass-Market,Large,Transfer,Large,Personal,Approved,High,Visa,High,Suggestion,Resolved
Established,Female,Current,Mass-Market,Everyday,Withdrawal,Large,Personal,Approved,Low,Visa,Over-Limit,Complaint,Pending
Early Career,Male,Savings,Comfortable,Everyday,Deposit,Large,Mortgage,Approved,High,MasterCard,Moderate,Praise,Pending
Early Career,Other,Current,Comfortable,Very Large,Transfer,Large,Mortgage,Approved,High,MasterCard,Moderate,Praise,Pending
Pre-Retirement,Female,Current,Mass-Market,Large,Deposit,Very Large,Mortgage,Rejected,Low,AMEX,Low,Suggestion,Resolved
Young Adult,Female,Current,Mass-Market,Large,Transfer,Very Large,Mortgage,Closed,Low,AMEX,Over-Limit,Praise,Resolved
Senior,Male,Current,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Approved,Low,AMEX,Moderate,Praise,Resolved
Early Career,Female,Current,Mass-Market,Very Large,Transfer,Medium,Auto,Closed,High,AMEX,Low,Praise,Resolved
Early Career,Male,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Closed,High,Visa,Moderate,Suggestion,Pending
Early Career,Male,Current,Mass-Market,Very Large,Withdrawal,Large,Auto,Approved,Moderate,AMEX,Low,Complaint,Pending
Established,Male,Savings,Mass-Market,Everyday,Deposit,Large,Mortgage,Closed,Moderate,Visa,Moderate,Suggestion,Pending
Established,Male,Savings,Comfortable,Everyday,Withdrawal,Large,Mortgage,Closed,Moderate,MasterCard,Over-Limit,Praise,Pending
Pre-Retirement,Other,Current,Mass-Market,Very Large,Deposit,Large,Auto,Closed,Moderate,MasterCard,Low,Praise,Pending
Established,Female,Savings,Below-Minimum,Very Large,Transfer,Very Large,Mortgage,Closed,Moderate,Visa,Low,Suggestion,Resolved
Early Career,Female,Current,Comfortable,Very Large,Withdrawal,Large,Mortgage,Rejected,Low,MasterCard,Over-Limit,Praise,Pending
Established,Other,Current,Comfortable,Very Large,Transfer,Very Large,Mortgage,Rejected,Low,AMEX,Low,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Very Large,Mortgage,Approved,High,MasterCard,Low,Praise,Pending
Pre-Retirement,Male,Current,Comfortable,Everyday,Withdrawal,Medium,Mortgage,Closed,Moderate,MasterCard,High,Complaint,Pending
Pre-Retirement,Male,Savings,Mass-Market,Large,Withdrawal,Medium,Auto,Rejected,Moderate,Visa,Moderate,Praise,Resolved
Established,Male,Savings,Below-Minimum,Everyday,Transfer,Very Large,Mortgage,Approved,Low,MasterCard,Low,Suggestion,Pending
Senior,Other,Savings,Comfortable,Large,Withdrawal,Medium,Auto,Closed,Moderate,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Female,Current,Mass-Market,Large,Deposit,Small,Mortgage,Closed,Low,AMEX,Low,Praise,Resolved
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Large,Auto,Rejected,Moderate,Visa,High,Suggestion,Resolved
Established,Male,Current,Mass-Market,Everyday,Transfer,Medium,Auto,Approved,Moderate,Visa,High,Praise,Pending
Pre-Retirement,Male,Savings,Comfortable,Very Large,Deposit,Medium,Auto,Closed,High,AMEX,High,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Medium,Auto,Rejected,Low,MasterCard,Moderate,Praise,Pending
Early Career,Female,Current,Mass-Market,Large,Transfer,Very Large,Personal,Rejected,Low,MasterCard,Low,Praise,Pending
Pre-Retirement,Other,Savings,Mass-Market,Large,Transfer,Very Large,Personal,Approved,High,Visa,Over-Limit,Complaint,Pending
Established,Female,Savings,Comfortable,Everyday,Transfer,Small,Mortgage,Rejected,Moderate,AMEX,Low,Complaint,Pending
Early Career,Female,Savings,Comfortable,Large,Transfer,Large,Mortgage,Approved,High,AMEX,Over-Limit,Complaint,Pending
Established,Male,Current,Comfortable,Very Large,Transfer,Medium,Personal,Approved,High,AMEX,Low,Praise,Pending
Senior,Female,Current,Mass-Market,Very Large,Deposit,Large,Personal,Approved,High,AMEX,Low,Praise,Resolved
Established,Male,Savings,Comfortable,Everyday,Transfer,Medium,Auto,Approved,Low,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Other,Savings,Mass-Market,Everyday,Transfer,Medium,Auto,Closed,Low,MasterCard,Over-Limit,Praise,Pending
Pre-Retirement,Male,Current,Below-Minimum,Large,Withdrawal,Very Large,Auto,Closed,High,Visa,Low,Praise,Pending
Young Adult,Other,Current,Mass-Market,Large,Deposit,Very Large,Auto,Rejected,Moderate,Visa,High,Praise,Pending
Pre-Retirement,Female,Current,Mass-Market,Very Large,Transfer,Large,Mortgage,Rejected,Low,Visa,Low,Praise,Pending
Established,Other,Savings,Comfortable,Large,Withdrawal,Medium,Auto,Approved,Low,AMEX,Moderate,Praise,Resolved
Established,Male,Savings,Mass-Market,Large,Deposit,Large,Mortgage,Closed,Moderate,Visa,High,Complaint,Pending
Pre-Retirement,Female,Current,Mass-Market,Very Large,Deposit,Very Large,Personal,Rejected,High,Visa,Low,Complaint,Resolved
Established,Female,Current,Comfortable,Large,Transfer,Medium,Personal,Approved,Moderate,MasterCard,Moderate,Suggestion,Resolved
Established,Male,Savings,Mass-Market,Large,Deposit,Medium,Auto,Rejected,Moderate,AMEX,Over-Limit,Praise,Resolved
Established,Female,Savings,Comfortable,Everyday,Withdrawal,Large,Auto,Closed,High,Visa,Moderate,Praise,Pending
Early Career,Male,Current,Mass-Market,Large,Deposit,Large,Mortgage,Approved,High,Visa,Low,Complaint,Resolved
